Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeMultivariate.(Anon_9).value(DerivativeStructure[]);1;8;5;7;4;1;0;7;6;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeMultivariate.(Anon_9).value(double[]);1;3;0;2;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeUnivariate();0;20;6;14;3;2;0;15;8;7;2;2;2;1;0;0;1;0
Anonymous Class;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeUnivariate.(Anon_8);9;1;7;2;4;2;2;;;;;;;;;;;
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeUnivariate.(Anon_8).value(DerivativeStructure);1;3;0;2;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testDerivativeUnivariate.(Anon_8).value(double);1;3;0;2;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testFixingArguments();1;10;5;7;6;2;0;10;6;4;2;2;2;1;0;0;1;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testMultiply();1;7;4;5;6;1;0;6;4;2;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testMultiplyDifferentiable();1;14;8;12;13;1;0;11;8;3;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testSample();1;10;6;7;3;2;0;10;7;3;2;2;2;1;0;0;1;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleNegativeNumberOfPoints();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleNullNumberOfPoints();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleWrongBounds();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testSinc();1;11;7;8;5;2;0;11;8;3;2;2;2;1;0;0;1;0
Public Method;org.apache.commons.math4.analysis.FunctionUtilsTest.testToDifferentiableMultivariate();1;41;13;31;15;12;1;35;16;19;5;5;5;1;1;0;2;0
Anonymous Class;org.apache.commons.math4.analysis.FunctionUtilsTest.testToDifferentiableMultivariate.(Anon_4);5;1;4;1;2;1;1;;;;;;;;;;;
